advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
agent, 1 Feb,bold,1,,14524855,Lewisham,SE13,"£1,000 pcm",£1pw,flat,studio flat,1,Y,new,"Modern Studio, Close to Lewisham Station",offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Mar,bold,1,,6975784,London W10,W10,"£1,000pcm",£1pw,flat,,2,,new,Double room available: clean modern 2 bed flat,offered,False,2020-01-27 02:47:34.811272
agent,28 Jan,bold,1,,14512654,Islington,N1,"£2,002pcm",£462 pw,flat,,2,Y,new,2 Bed Flat with Garden in Dalston  N1,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,1,,14392768,East Dulwich,SE22,"£1,000pcm",£1pw,flat,,2,,new,Stunning Dulwich Penthouse with Roof Terrace,offered,False,2020-01-27 02:47:34.811272
agent,11 Feb,bold,1,,12485716,Finsbury Park,N4,£997pcm,£230 pw,flat,studio flat,1,Y,new,Studio flat with separate kitchen in Finsbury Park,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,1,,14432416,Willesden Green,NW2,"£1,000 pcm",£1pw,flat,studio flat,1,Y,new,"Large studio flat , Inc bills, close to tube stn",offered,False,2020-01-27 02:47:34.811272
agent,12 Feb,bold,1,,14188192,Willesden Green,NW10,£997pcm,£230pw,house,,6,,new,Luxury Double Room Zone 2 Jubilee Line,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14531179,Mile End,E3,£997pcm,£230pw,flat,,2,,new,1 super luxury room in mile end / Couple allowed ,offered,False,2020-01-27 02:47:34.811272
agent, 2 Feb,bold,2,,14462671,Kensal Rise,NW10,"£1,000pcm",£1pw,flat,,4,,new,Big Ensuite Double Single Use,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14531083,Canary Wharf,E14,"£759- £1,170pcm",£175- £270pw,flat,,4,,new,4 Massive double rooms to rent in canary wharf ,offered,False,2020-01-27 02:47:34.811272
live out landlord,31 Jan,featured,0,,8481118,Clapham,SW4,£999pcm,£231pw,house,,6,,new,"Kenwyn Road, Clapham SW4",offered,False,2020-01-27 02:47:34.811272
agent,30 Jan,bold,2,,13888192,West Hampstead,NW6,"£1,000pcm",£1pw,house,,5,,new,Recently Refurb Large Room Hampstead NW6 £1000pcm,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14531044,Mile End,E3,£997pcm,£230pw,flat,,2,,new,1 Luxury newly refurbished room in mile end ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14287570,West Hampstead,NW6,"£1,000 pcm",£1pw,flat,,1,Y,new,Recently Refurb Large Room Hampstead NW6 £1000pcm,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,6499561,Surrey Quays,SE8,"£1,000pcm",£1pw,flat,,3,,new,Modern Double Ensuite with Balcony Also Nice View,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14522614,Canary Wharf,E14,"£1,998pcm",£461 pw,flat,,2,Y,new,~No Deposit/Superb 2 Bed Flat/2 Baths/Canary Wharf,offered,False,2020-01-27 02:47:34.811272
agent,25 Feb,bold,2,,14514133,Fulham Broadway,SW6,"£930- £1,160pcm",£215- £268pw,house,,5,,new,☀️Amazing En-Suits/Fulham☀️ ,offered,False,2020-01-27 02:47:34.811272
live out landlord,28 Jan,bold,2,,14506444,West Kensington,W14,"£1,018 pcm",£1pw,flat,studio flat,1,Y,new,Large double bedsit in West Barons Court W14 9AS,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14468719,Rotherhithe,SE16,"£975- £1,225pcm",£225- £283pw,flat,,3,,new,Nice 3 Double Bedroom in Canada Water Sandringham,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14426137,Limehouse,E14,"£1,014pcm",£1pw,flat,,3,,new,++Twin Room 15M from Canary Wharf for Couple ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14393119,Rotherhithe,SE16,"£975- £1,225pcm",£225- £283pw,flat,,3,,new,New Gorgeous Rooms with Beautiful Views,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,14455582,Kilburn Park,NW6,"£1,000pcm",£1pw,flat,,3,,new,Double Room in amazing house ! All bill included ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14528812,Fulham,SW6,"£910- £1,040pcm",£210- £240pw,flat,,5,,new,2 ROOMS LEFT 🔥 Spacious + Garden,offered,False,2020-01-27 02:47:34.811272
live out landlord,31 Jan,bold,2,,14369059,Wandsworth Town,SW18,"£2,200 pcm",£1pw,flat,,2,Y,new,2 Bed Apartment with Large Terrace,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,8917231,Canary Wharf,E14,"£874- £1,375pcm",£202- £318pw,flat,,3,,new,301IC - Canary Wharf - 7 minutes walk - South Quay,offered,False,2020-01-27 02:47:34.811272
agent, 5 Mar,bold,2,,14469580,Clapham Junction,SW11,"£1,018pcm",£1pw,house,,6,,new,Great Double Bedroom Available on Bramfield Road,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Feb,bold,2,,14522512,Dalston Junction,E8,£997pcm,£230pw,flat,,4,,new,Double bedroom in modern flat - Dalston square,offered,False,2020-01-27 02:47:34.811272
agent, 5 Mar,bold,2,,14469439,Clapham Junction,SW11,"£1,018pcm",£1pw,flat,,6,,new,Double Bedroom Off Northcote Road,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14515204,Poplar,E14,"£1,019pcm",£235pw,flat,,2,,new,👀 Last En-Suite Left...,offered,False,2020-01-27 02:47:34.811272
agent,20 Feb,bold,2,,14469130,Clapham,SW11,£996pcm,£230pw,flat,,6,,new,Short Term Let - Clapham South,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,bold,2,,9759028,Fulham,SW6,£995pcm,£230pw,flat,,2,,new,Large double room 7min walk from Parsons Green.,offered,False,2020-01-27 02:47:34.811272
agent,10 Feb,bold,2,,5691478,East India,E14,"£1,000pcm",£1pw,flat,,2,,new,Large Double Room in This New Build Wingfield Crt,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,2,,14398750,Maida Hill,W9,£997pcm,£230pw,flat,,3,,new,Homely Dl with PRIVATE Terrace Nx Queen's Park,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,2,,14500366,St John's Wood,NW8,"£824- £1,127pcm",£190- £260pw,flat,,5,,new,✅Incredible Double Room ST JOHNS WOOD✅,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14452078,Chiswick,W4,"£850- £1,150pcm",£197- £266pw,flat,,3,,new,Amazing 3 double rooms available in Chiswick!,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,2,,14498395,St John's Wood,NW8,"£824- £1,127pcm",£190- £260pw,flat,,5,,new,✅Incredible Double Room ST JOHNS WOOD ✅,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,12075625,Harringay,N4,£999 pcm,£231pw,flat,studio flat,1,Y,new,Stunning  studio flat  ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14500492,Swiss Cottage,NW3,£867- £997pcm,£200- £230pw,flat,,5,,new,✅Incredible Double Room Swiss Cottage✅,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14506081,Cricklewood,NW2,"£1,000 pcm",£1pw,flat,studio flat,1,Y,new,***Large Studio Room***,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14527939,Aldgate East,E1,"£715- £1,019pcm",£165- £235pw,flat,,5,,new,ðŸ’°Now or Never*Cheap Double & SingleðŸ’°,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,2,,6680152,St John's Wood,NW8,"£824- £1,127pcm",£190- £260pw,flat,,5,,new,2 Gorgeous Rooms + 2 Bathrooms (Modern Flat),offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,13868980,Parsons Green,SW6,"£1,994pcm",£460 pw,flat,,2,Y,new,Bright and spacious apartment very well located,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14313727,Shepherds Bush,W12,"£1,000 pcm",£1pw,flat,studio flat,1,Y,new,Stunning Studio available opposite Westfield!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,2,,14414317,Maida Hill,W9,£997pcm,£230pw,flat,,4,,new,Lovely Large En-suite Nx Queen's Park,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,2,,14414089,Maida Vale,W9,£997pcm,£230pw,flat,,4,,new,Bright Ensuite Double Room In Maida Hill ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14434663,Shoreditch,E2,£997pcm,£230pw,flat,,4,,new,(2.4) New Twin Double room - 5 mins - Shoreditch,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14407963,Maida Hill,W9,£997pcm,£230pw,flat,,3,,new,Lovely Dl w/ Roof Terrace - Queen's Park,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14414317,Maida Hill,W9,£997pcm,£230pw,flat,,4,,new,Lovely Large En-suite Nx Queen's Park,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14522137,Camden,NW1,"£2,037pcm",£470 pw,flat,,2,Y,new,Newly Refurbished Two Bedroom Flat in NW1,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14398750,Maida Hill,W9,£997pcm,£230pw,flat,,3,,new,Homely Dl with PRIVATE Terrace Nx Queen's Park,offered,False,2020-01-27 02:47:34.811272
agent,20 Feb,bold,2,,14469400,Clapham,SW11,£996pcm,£230pw,flat,,6,,new,January Sale Double Room on Broxash Raod,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,bold,2,,890329,London N1,N1,"£850- £1,250pcm",£197- £289pw,flat,,3,,new,Highbury: 2 Double Rooms 3-6 Month Let,offered,False,2020-01-27 02:47:34.811272
agent, 5 Mar,bold,2,,14469712,Clapham,SW11,"£1,018pcm",£1pw,flat,,5,,new,***January Sale***  Double Room on Meteor Street,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,2,,14200906,Herne Hill,SE24,£995pcm,£230pw,house,,5,,new,Kingsize loft room with private bathroom ,offered,False,2020-01-27 02:47:34.811272
agent,16 Feb,bold,2,,14462536,Canary Wharf,E14,"£954- £1,300pcm",£220- £300pw,flat,,3,,new,Wonderful New Providence Wharf Flatshare!,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,2,,9233158,Docklands,E14,£867- £997pcm,£200- £230pw,house,,5,,new,Beautiful house on River Thames E14 ,offered,False,2020-01-27 02:47:34.811272
current flatmate, 6 Feb,bold,3,,14503906,Vauxhall,SW8,"£1,000pcm",£1pw,house,,2,,new,Nice double room in a house with garden(Zone 1),offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,3,,11974156,Willesden Green,NW2,"£1,000pcm",£1pw,flat,,2,,new,Nice studio flat ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14524333,Fulham,SW6,"£953- £1,083pcm",£220- £250pw,flat,,5,,new,🚨Crazy Offer in Fulham! All Included House🤯,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,bold,3,,14474356,Stratford,E15,"£1,000pcm",£1pw,flat,,2,,new,"Modern new build, en-suite with gym & concierge",offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,3,,11029609,London E1,E1,"£860- £1,100pcm",£199- £254pw,flat,,3,,new,"Zone 1/2 modern flat, close to the City & Canary W",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14523241,Fulham Broadway,SW6,"£910- £1,040pcm",£210- £240pw,house,,5,,new,Feel at Home☀️2 Spacious Rooms,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14301232,Canary Wharf,E14,£802- £997pcm,£185- £230pw,flat,,3,,new,Beautiful accommodations in Canary Wharf,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,3,,14522968,Whitechapel,E1,£997pcm,£230pw,flat,,4,,new,(1A.1) Nice Twin Double room - 1min - Whitechapel,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14477233,North Greenwich,SE10,"£759- £1,214pcm",£175- £280pw,flat,,4,,new,"Privacy, safety and clean area!",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14513575,Canada Water,SE16,"£975- £1,225pcm",£225- £283pw,flat,,3,,new,Exclusive 3 Bedroom Apartment ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14521543,Canary Wharf,E14,"£880- £1,200pcm",£204- £277pw,flat,,4,,new,Splendid Flat Available in Canary Wharf,offered,False,2020-01-27 02:47:34.811272
live out landlord,20 Feb,bold,3,,14520904,Notting Hill,W2,£997 pcm,£231pw,flat,studio flat,1,Y,new,Self-contained double studio in Notting HIll Gate,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14498554,Canary Wharf,E14,"£715- £1,019pcm",£165- £235pw,flat,,4,,new,Brand New Building with 4 Rooms Rare Opportunity ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14519719,Westferry,E14,"£850- £1,150pcm",£197- £266pw,flat,,3,,new,One of the best looking properties in East London,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,3,,13856860,Canada Water,SE16,"£1,000pcm",£1pw,house,,5,,new,Canada Water - nice place,offered,False,2020-01-27 02:47:34.811272
agent,17 Mar,bold,3,,14519620,Highbury,N5,"£2,037pcm",£470 pw,flat,,2,Y,new,Lovely Two Bedroom Maisonette to Rent in Highbury,offered,False,2020-01-27 02:47:34.811272
agent,28 Feb,bold,3,,14384623,Notting Hill,W11,"£1,994pcm",£460 pw,flat,,2,Y,new,2 double bed Notting Hill - private Garden ,offered,False,2020-01-27 02:47:34.811272
agent,10 Feb,bold,3,,14451229,Bow,E3,£996pcm,£230pw,flat,,4,,new,***Ensuite Coming Available in Caspian Wharf,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,3,,14474164,Fulham,SW6,"£1,000pcm",£1pw,house,,7,,new,**Ensuite to Rent in Fulham,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14513674,Bethnal Green,E2,"£780- £1,084pcm",£180- £250pw,flat,,3,,new,3 Newly Refurbished Double Rooms Available Now,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,bold,4,,14495785,Blackheath,SE3,"£950- £1,100pcm",£220- £254pw,flat,,2,,new,Two rooms in lovely Blackheath 2-bed 2-bath flat,offered,False,2020-01-27 02:47:34.811272
live in landlord,22 Feb,bold,4,,14518081,Olympia,W14,"£1,000pcm",£1pw,flat,,3,,new,2 double rooms for rent ,offered,False,2020-01-27 02:47:34.811272
current flatmate, 3 Feb,bold,4,,14408323,Putney,SW18,"£1,000pcm",£1pw,flat,,2,,new,Double Room in Stunning Maisonette,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,4,,14234623,Camden,NW1,"£900- £1,000pcm",£208- £231pw,flat,,4,,new,Special Flatshare. Camden. Bills Inc.,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,4,,8675971,Archway,N19,"£845- £1,040pcm",£195- £240pw,property,,4,,new,Spacious Studios (Zone 2),offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,4,,14514715,Arsenal,N5,"£900- £1,000pcm",£208- £231pw,flat,,2,,new,Newly renovated/furnished 2 bed flat in Highbury,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,4,,14514892,City of Westminster,W2,"£867- £1,170pcm",£200- £270pw,flat,,4,,new,❤️Beautiful Rooms ❤️ West London,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,4,,11270461,Hampstead,NW3,£997pcm,£230pw,flat,,2,,new,Brand New Studio Available ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,4,,14512282,Bethnal Green,E2,£997pcm,£230pw,flat,,4,,new,Massive Double Room in Bethnal Green 230pw Bills ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,5,,14509561,Camden,NW1,"£1,019pcm",£235pw,flat,,3,,new,"Legendary room in Camden, Brand New, Modern",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,5,,14438572,Fulham,SW6,£995pcm,£230pw,flat,,2,,new,River Side Spare Double Room,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,5,,14475598,Bow Road,E3,"£1,019pcm",£235pw,flat,,7,,new,Luxury Double Rooms 1 Min Walk to Bow Road Tube,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Mar,bold,5,,14446129,Brixton,SW2,"£1,000pcm",£1pw,flat,,3,,new,Large bright double room between Clapham & Brixton,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,5,,14177629,Peckham,SE15,"£1,800 pcm",£1pw,flat,,2,Y,new,Two Bedroom Apartment (Bills Not Included),offered,False,2020-01-27 02:47:34.811272
agent,15 Feb,bold,5,,14426230,Stoke Newington,N16,"£2,200 pcm",£1pw,property,,2,Y,new,"Manor Road, 2 Bed, 2 Bath, Not Room Let",offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,5,,14441503,Clapham,SW4,"£1,000pcm",£1pw,flat,,2,,new,Very spacious 2 bed duplex flat (with 2 bathrooms),offered,False,2020-01-27 02:47:34.811272
agent,15 Feb,bold,5,,14459623,Stoke Newington,N16,"£2,200 pcm",£1pw,flat,,2,Y,new,Beautiful two bedroom flat with roof terrace,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,6,,14501617,Bethnal Green,E2,£997pcm,£230pw,flat,,4,,new,🆕 Bright Rooms !! Lovely Flat ❤,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,6,,14501092,Whitechapel,E1,"£800- £1,000pcm",£185- £231pw,house,,5,,new,Fantastic 5 Bed Town house,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Feb,bold,6,,14457046,St John's Wood,NW8,£997pcm,£230pw,flat,,3,,new,Really nice double room St Johns Wood ,offered,False,2020-01-27 02:47:34.811272
current flatmate,31 Jan,bold,6,,12176599,Maida Hill,W9,"£1,000pcm",£1pw,flat,,2,,new,Double  bedroom,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,7,,2403930,Swiss Cottage,NW3,"£802- £1,062pcm",£185- £245pw,flat,,4,,,"Bray Apartment: Swiss Cottage, London NW3",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,7,,14017399,London N16,N16,"£1,000pcm",£1pw,flat,,3,,,"Beautiful light, airy double room with ensuite",offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,7,,14325925,Fulham,SW6,"£1,000pcm",£1pw,flat,,2,,,Room Available - 5 Months - Fulham ,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,7,,14491711,Lewisham,SE13,"£1,000pcm",£1pw,flat,,2,,,Well finished double bedroom with own bathroom ,offered,False,2020-01-27 02:47:34.811272
former flatmate,21 Feb,bold,7,,14400322,Clapham,SW11,"£1,000pcm",£1pw,flat,,2,,,Ensuite double room a step away from the Commons,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,8,,12287005,Willesden Green,NW2,"£1,020 pcm",£1pw,flat,studio flat,1,Y,,Bright Open Plan Studio Flat £1070pcm in Zone 2,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,9,,14477872,Shoreditch,E2,"£900- £1,100pcm",£208- £254pw,house,,6,,,Stunning Ensuite in Shoreditch,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,8,,10910260,Willesden Green,NW2,"£1,020 pcm",£1pw,flat,studio flat,1,Y,,Comfy Studio Flat £1020pcm ,offered,False,2020-01-27 02:47:34.811272
